,Date and Time,Name,Phone Number,Location,Estimated Number of Victims,Report Details,Category
1,2023-12-31 23:58:00,Allen Incognito,9753125000,"Block 1 Lot 5 St. Joseph Village, Brgy. Mamatid, Cabuyao City, Laguna",2,"Two kids got injured because of firecrackers, send help please, they're bleeding profusely",Medical Emergency
2,2023-12-31 23:55:23,Boy Ramos,9500730861,"Ariel Subd., Brgy. Baclaran, Cabuyao City, Laguna",1,"a car lost its brake, injuring a passerby, they're bleeding, they need first aid",Vehicular Accident
3,2023-12-23 20:05:05,Harold Watawat,9873219800,"Buena Dios Village, Brgy. Poblacion Tres, Cabuyao City, Laguna",3,"there's a house fire in a family of 3, send help please",Other Emergency
4,2023-11-24 12:36:01,Mark Enrile,9456813232," Zone 78, Brgy. Banlic, Cabuyao City, Laguna",10,"multiple car collision, send ambulance for first aid",Vehicular Accident
5,2023-06-23 0:05:20,Mary Ann Hawak,9815650011,"Etheral Springs Resort, Brgy. Gulod, Cabuyao City, Laguna",1,"my friend lost their footing, she can't be resuscitated, needs first aid",Medical Emergency
6,2023-04-01 5:55:00,Mayumi Sambigan,9754602371,"Etheral Springs Resort, Brgy. Gulod, Cabuyao City, Laguna",2,"two people slipped on the rocks, their heads are bleeding, need first aid",Medical Emergency
7,2023-07-24 14:11:00,Marck Matumban,9408907111,"Block 7 Lot 8 Washington St., Brgy. Niugan, Cabuyao City, Laguna",4,"car and e-bike collision, need ambulance and first aid",Vehicular Accident
8,2023-09-10 23:11:48,Jennifer Budang,9503817896,"Along the highway, Brgy. Banlic, Cabuyao City, Laguna",4,"collision between several motorcycles, need ambulance and first aid",Vehicular Accident
9,2023-10-17 16:03:55,Miguel Escaldo,9167400595,"Along the highway, Brgy. Pulo, Cabuyao City, Laguna",8,"multiple vehicle collision between cars, need ambulance and first aid",Vehicular Accident
10,2023-10-19 18:06:41,Virgil Esme,9786543200,"Along the highway, Brgy. Banlic, Cabuyao City, Laguna",1,"my wife is pregnant and my child's gonna come out, send ambulance please",Medical Emergency
11,2023-07-11 0:10:06,Ian Santiago,9764530110,"Mermaid Fins Resort, Brgy. Sala, Cabuyao City, Laguna",3,"mga kasamahan ko po nagsusuka at nabula bibig, need first aid, ang baho ng tubig dito sa resort",Medical Emergency
12,2023-09-25 12:51:06,Mylene Borres,9157320114,"Utopia Subdivision, Brgy. Pittland, Cabuyao City, Laguna",4,"may nagsusuntukan, duguan yung isa, first aid kailangan o ambulansya po",Medical Emergency
13,2023-09-25 12:52:08,Joe Monay,9157320011,"Utopia Subdivision, Brgy. Pittland, Cabuyao City, Laguna",4,"may nag-aaway rito, tulong po rito ambulansya",Medical Emergency
14,2023-11-08 9:23:07,Esmeralda Gutierrez,9873159823,"Block 1 Lot 3, Yemen Village, Brgy. Niugan, Cabuyao City, Laguna",1,"nanay ko po di na nagigising, may breast cancer po",Medical Emergency
15,2023-12-11 5:16:26,Patricia Guinto,9169610108,"Block 1 Lot 1, Yemen Village, Brgy. Niugan, Cabuyao City, Laguna",3,"may mga trabahador dito na nabagsakan ng aparador, need namin ng ambulansya di sila magising para first aid",Medical Emergency
16,2023-01-02 0:01:55,Mercury Mercado,9169461010,"Along the highway, Brgy. Pulo, Cabuyao City, Laguna",9,"maraming nagbanggaan kasama dyip, kotse, L300, wala pang nalabas sa kanila, need first aid siguro",Vehicular Accident
17,2023-02-14 16:04:47,John Sangkan,9187413262,"Marcus St., Ibon Himpapawid Subd., Brgy. Banay-banay, Cabuyao City, Laguna",2,"may nagsusuntukan dito, duguan na yung ulo nila parehas, need first aid at ambulansya",Medical Emergency
18,2023-04-15 16:04:47,Emil Sangkot,9703163554,"Clark Subd., Brgy. Banay-banay, Cabuyao City, Laguna",1,"may binaril dito, bleeding profusely, send ambulansya ",Medical Emergency
19,2023-08-29 23:30:26,Aria Binag,9753164554,"Star St., Jones Village, Brgy. Mamatid, Cabuyao City, Laguna",1,"may sinaksak dito, nagdudugo yung dibdib, need first aid at dalhin ng ambulansya",Medical Emergency
20,2023-07-25 8:05:01,Brim Calguna,9871365002,"Apartment 790 Jose Subd., Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"manganganak na misis ko, pumutok na panubigan, send ambulance please",Medical Emergency
21,2023-07-29 8:05:01,Joseph Engkanto,9871236512,"Apartment 789 Jose Subd., Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"pumutok na panubigan ng misis ko, may onting dugo na, need na dalhin ng ambulansya please",Medical Emergency
22,2023-12-17 11:56:00,Mark Romualdez,9751264720,"Zone 8, Juanito Santos Subd., Brgy. Marinig, Cabuyao City, Laguna",3,"yung kapatid ko po saka kasamahan nabaril, dami nang dugo, send ambulansya pakiusap",Medical Emergency
23,2023-12-18 0:00:03,Joseph Romualdez,9516324473,"Zone 8, Juanito Santos Subd., Brgy. Marinig, Cabuyao City, Laguna",3,"kapatid ko nabaril, kailangan ng ambulansya, marami nang nawawalang dugo",Medical Emergency
24,2023-12-18 0:03:40,Ezekiel Romualdez,9516329802,"Zone 8, Juanito Santos Subd., Brgy. Marinig, Cabuyao City, Laguna",3,"nabaril kapatid ko saka kasamahan niya, di na nadilat yung iba, kailangan madala ng ambulansya sa ospital",Medical Emergency
25,2023-12-24 21:09:23,Maria Clara,9873516984,"Block 5 Lot 1 Emerald Subd., Brgy. Bigaa, Cabuyao City, Laguna",2,"may nabagsakan ng ilaw rito, nahinga pa pero ang dami nang dugo, need first aid at hospital please",Medical Emergency
26,2023-02-16 23:05:43,Jenea Canrez,9641234560,"Along the highway, Brgy. Poblacion Uno, Cabuyao City, Laguna",1,"may nabagsakan ng niyog dito, nahinga pa pero di na nadilat saka ang dami nang dugo, need first aid at hospital please",Medical Emergency
27,2023-10-29 6:05:25,Kirri Castillo,9638751203,"Along the highway, Brgy. Poblacion Uno, Cabuyao City, Laguna",3,"may nagkakagulo rito, nakagulantang na yung isa, nadugo ulo, need first aid at ambulansya",Medical Emergency
28,2023-11-01 23:00:54,Michael Miyares,9186321093,"Angel Wings Cemetery, Brgy. Marinig, Cabuyao City, Laguna",1,"may nasusunugan ng tent dito, sobrang nadugo yung braso, needs first aid",Medical Emergency
29,2023-11-01 0:05:26,Jason Vorja,9647853193,"Angel Wings Cemetery, Brgy. Marinig, Cabuyao City, Laguna",1,"may namato ng bato, nadugo ulo profusely, needs first aid",Medical Emergency
30,2023-11-01 15:05:25,Frederick Kianez,9652398112,"Angel Wings Cemetery, Brgy. Marinig, Cabuyao City, Laguna",1,"may nasaksak ng stick sa pisngi, needs first aid at hospital, nadugo marami",Medical Emergency
31,2023-12-01 11:59:06,Karim Abdalon,9748452212,"Las Von Subd., Brgy. Poblacion Uno, Cabuyao City, Laguna",4,"may nabagsakan ng ilaw rito sa chapel sa paa, may nalabas na dugo, need first aid at ambulansya",Medical Emergency
32,2023-12-01 11:59:09,Mikael Marano,9788452200,"Las Von Subd., Brgy. Poblacion Uno, Cabuyao City, Laguna",4,"may nabagsakan ng ilaw rito sa chapel sa ulo, ang daming dugo, need first aid at ambulansya",Medical Emergency
33,2023-12-01 12:00:00,Lavina Yi,9769552212,"Las Von Subd., Brgy. Poblacion Uno, Cabuyao City, Laguna",4,"may nabagsakan ng ilaw rito sa chapel sa likod, may nalabas na dugo, need first aid at ambulansya papuntang ospital",Medical Emergency
